UTC,Open,High,Low,Close,Volume
03.01.2022 04:59:00.000 UTC,1824.918,1825.058,1824.918,1825.028,0.00777
03.01.2022 05:00:00.000 UTC,1825.038,1825.268,1824.988,1825.218,0.02182
03.01.2022 05:01:00.000 UTC,1825.228,1825.238,1824.998,1825.058,0.01579
03.01.2022 05:02:00.000 UTC,1825.088,1825.118,1825.048,1825.088,0.0107
03.01.2022 05:03:00.000 UTC,1825.088,1825.108,1824.998,1825.028,0.01207
03.01.2022 05:04:00.000 UTC,1825.018,1825.048,1824.938,1825.038,0.00949
03.01.2022 05:05:00.000 UTC,1825.038,1825.038,1824.878,1824.924,0.00762
03.01.2022 05:06:00.000 UTC,1824.914,1825.004,1824.904,1824.964,0.00285
03.01.2022 05:07:00.000 UTC,1824.954,1825.084,1824.934,1825.084,0.00345
03.01.2022 05:08:00.000 UTC,1825.034,1825.064,1825.024,1825.034,0.00337
03.01.2022 05:09:00.000 UTC,1825.038,1825.118,1824.898,1824.904,0.00913
03.01.2022 05:10:00.000 UTC,1824.884,1825.118,1824.884,1825.054,0.00981
03.01.2022 05:11:00.000 UTC,1824.998,1825.018,1824.778,1824.948,0.00701
03.01.2022 05:12:00.000 UTC,1824.988,1825.008,1824.698,1824.728,0.00705
03.01.2022 05:13:00.000 UTC,1824.728,1824.738,1824.678,1824.738,0.0064
03.01.2022 05:14:00.000 UTC,1824.758,1824.758,1824.628,1824.678,0.00656
03.01.2022 05:15:00.000 UTC,1824.648,1824.648,1824.458,1824.538,0.00837
03.01.2022 05:16:00.000 UTC,1824.528,1824.608,1824.488,1824.518,0.00721
03.01.2022 05:17:00.000 UTC,1824.518,1824.538,1824.458,1824.528,0.01373
03.01.2022 05:18:00.000 UTC,1824.528,1824.678,1824.508,1824.678,0.00487
03.01.2022 05:19:00.000 UTC,1824.678,1824.698,1824.604,1824.658,0.00495
03.01.2022 05:20:00.000 UTC,1824.678,1824.688,1824.598,1824.618,0.00345
03.01.2022 05:21:00.000 UTC,1824.618,1824.618,1824.468,1824.545,0.00752
03.01.2022 05:22:00.000 UTC,1824.545,1824.545,1824.488,1824.498,0.00306
03.01.2022 05:23:00.000 UTC,1824.548,1824.588,1824.538,1824.568,0.0021
03.01.2022 05:24:00.000 UTC,1824.558,1824.558,1824.088,1824.138,0.01065
03.01.2022 05:25:00.000 UTC,1824.148,1824.148,1823.594,1823.688,0.01392
03.01.2022 05:26:00.000 UTC,1823.668,1824.178,1823.598,1824.078,0.00853
03.01.2022 05:27:00.000 UTC,1824.118,1824.218,1823.974,1824.198,0.01338
03.01.2022 05:28:00.000 UTC,1824.198,1824.368,1824.008,1824.348,0.01292
03.01.2022 05:29:00.000 UTC,1824.358,1824.488,1824.098,1824.138,0.01783
03.01.2022 05:30:00.000 UTC,1824.138,1824.288,1824.058,1824.208,0.00875
03.01.2022 05:31:00.000 UTC,1824.188,1824.408,1824.068,1824.138,0.01155
03.01.2022 05:32:00.000 UTC,1824.168,1824.508,1824.128,1824.488,0.01026
03.01.2022 05:33:00.000 UTC,1824.518,1825.018,1824.518,1824.814,0.02121
03.01.2022 05:34:00.000 UTC,1824.844,1824.844,1824.378,1824.594,0.01683
